id,active,status,approvedDate,title,summary,themeName,activities,longTermImpact,need,contactCountry,contactCity,contactState,funding,goal,remaining,numberOfDonations,numberOfReports,dateOfMostRecentReport,modifiedDate,theme > name,image > imagelink
1357,false,retired,2007-06-18T15:40:36-04:00,Retrofit Dirty 2-Stroke Vehicles in Philippines,Promote the use of retrofitted two-stroke vehicles by Filipino taxi drivers. These vehicles significantly reduce emissions and fuel consumption and enable drivers to save money and increase income.,Climate Action,"Envirofit currently has pilot projects in 3 historic/tourist cities: Vigan, Puerto Princesa, and Boracay. These projects aim to retrofit nearly 4000 vehicles. We are looking to replicate this project throughout the Philippines and to other countries.","Our 3 pilot projects will ANNUALLY remove 127,000 automobile equivalents of pollution and infuse $1.1 million dollars into the local economy. We expect incidence of respiratory disease to decline with an improvement in the drivers’ quality of life.","The 1.8 million two-stroke vehicles in the Philippines produce the pollution equivalent of 5 billion automobiles. 1.3 million taxi drivers & millions of working class Filipinos rely on them for income/transportation respectively. Our retrofit dramatically reduces emissions: carbon monoxide 76%, carbon dioxide 35%, & hydrocarbon 89%. In addition, fuel consumption is reduced by 35%, oil consumption by 50%. This increased fuel efficiency saves taxi drivers $500 per year, a 33% increase in income.",United States,Fort Collins,Colorado,5564.00,460000.00,454436.00,82,2,2008-12-16T17:52:23-05:00,2021-11-25T02:23:16-05:00,Climate Action,6
1726,false,funded,2007-10-31T12:45:21-04:00,Clean water for 270 Filipino Villagers,"Working with Alternative Indigenous Development Foundation, Inc., an innovative pump will bring clean running water to 270 people in the hillside Sitio Tinumpagan village in the Philippines.",Physical Health,"The project uses an innovative hydralic ram pump. Local partner, Alternative Indigenous Development Foundation, Inc. will construct the system together with the community. The community will provide labor and be trained on operation and maintenance.","Clean and accessible water will ensure the vitality of the village indefinitely. Water borne illnesses will be minimized, children will have more time for school and play, women's work will be simplified, and farmers' fields will be better tended.","Currently, villagers must walk down and back up steep hills with heavy containers to retrieve water, limiting hygiene, sanitation, and irrigation. Water born illnesses are common and nutrition levels are low. Women must go to the river to do laundry all day, instead of caring for their children, livestock, and vegetable gardens. A ram pump system will alleviate the 270 people living in Tinumpagan of such difficulties, and increase community prosperity and health.",United States,Portland,Oregon,350.00,50.00,0.00,3,2,2007-10-11T20:21:21-04:00,2021-11-25T02:23:17-05:00,Child Protection;Climate Action;Economic Growth;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Digital Literacy;Physical Health;Clean Water,6
1731,false,retired,2007-05-25T23:28:28-04:00,"10,000 Disabled Persons on the go..wow!","500 trained volunteers in 20 of the poorest municipalities provide 10,000 handicapped persons with basic rehabilitation services to make them optimally self-reliant.",Physical Health,"If we have 25 trained community based rehabilitation volunteers in each of the 20 targeted municipalities some 10,000 persons with disabilities will receive the rehabilitation services which they don't receive now.","10,000 PWDs will have a more comfortable existence and be optimally self-reliant, with their deformities corrected, provided with basic life skills, their basic self confidence boosted, and fully integrated in their local communities.","The project brings rehabilitation services to persons with disabilities in the places where they live, aiming at their optimal self-reliance and social integration. We plan to train an average of 25 volunteers each for 20 of the most depressed municipalities in the region in the basic techniques of physical rehabilitation and of referrals for specialized medical interventions like surgeries  for cleft, cataract and orthopedic deformities.",Philippines,Bislig City,Surigao del Sur,7441.21,20000.00,12558.79,193,25,2011-03-02T12:37:44-05:00,2021-11-25T02:23:17-05:00,Physical Health;Disability Rights;Mental Health,6
1893,false,retired,2008-02-29T18:16:02-05:00,Organic Mangoes in the Philippines,"To test the feasibility of growing mangos organically in the Philippines, allowing the local farmers to produce a valuable product that competes with larger commercial and international markets.",Economic Growth,"We will conduct a study in which the fruit trees, climate, soil, weather patterns, and organisms are studied in order to learn whether organic farming techniques are feasible in the region.","The project has the potential to increase the household assets of the farmers, reduce their hospital visits, and positively effect the environment by eliminating the use of chemical agents.","Mangos are the third largest export crop in the Philippines behind bananas and pineapples. Yet unlike those other two crops, which are farmed on huge plantations by multinationals, about half of all mangos produced in the Philippines for export are produced by poor backyard farmers. The use of organic technologies can help the farmers to produce export-profitable organic mangos, putting money in their pockets and reducing risks to their health posed by use of common chemical agents.",United States,New Haven,Connecticut,145.00,8000.00,7855.00,5,0,,2021-11-25T02:23:17-05:00,Economic Growth,6
1910,false,retired,2007-11-26T17:43:11-05:00,Towards New Life for 5000 Filipino Sex Survivors,"Through 6 ""Belen Drop in Centers,"" 3 ""Nazareth Growth Homes,"" and 2 ""Bethany Transition Homes,"" survivors of incest, rape and the sex trade are ministered to for healing, leading to a new life.",Justice and Human Rights,"Young girls  find safe harbor, receive free education, legal and medical assistance, psychological and spiritual counselling as well as livelihood skills training  in 11 project sites. ""GAP sponsored Care Givers Training opened new employment.""","The entire project targets serving 5,000 women and children and helping them have a better quality of life.","Serving residents and communities of the sexually abused and ""sexploited"" has seen the faces of cruelty, ignorance, and poverty. Fieldworkers (former prostitutes) venture out  into the slums, the docksides and various redlight districts offering support and a way out.  We continue our  journey together in our homes where we  see transformation, justice, and human dignity restored.",Philippines,Quezon City,,3999.84,98000.00,94000.16,44,1,2008-12-30T17:20:23-05:00,2021-11-25T02:23:17-05:00,Justice and Human Rights;Ending Abuse,6
1931,false,funded,2008-01-14T15:31:26-05:00,Clean Water and Conservation in the Philippines,"On the island of Negros, in the Philippines, an innovative pump will bring clean running water to thousands of people in 12 villages and encourage watershed conservation within these communities",Climate Action,"Donations will go towards the first project that needs funding on the list. Once this project has been funded, the next project on the list will be implemented. With each pump, villagers receive tree seedlings to plant, to preserve the watershed.",The installation of ram pumps for these twelve separate sites will benefit these communities in creating a more accessible water system and a healthier environment based on their agreement to protect their watershed in return for the technology.,"Currently, women and children are having to walk down steep and dangerous hillsides in order to collect water. This task has significantly reduced the villager's standard of living. Yet there is a solution to the problem. AIDFI, a local NGO, in partnership with Green Empowerment, is able to deliver water to these communities using a ram pump, which will allow for the community members to spend their time doing other productive activities. This will take the burden off both women and children.",United States,Portland,Oregon,10849.85,9500.00,0.00,328,15,2011-10-07T00:28:58-04:00,2021-11-25T02:23:18-05:00,Child Protection;Climate Action;Economic Growth;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Digital Literacy;Climate Action;Climate Action;Ecosystem Restoration,6
2039,false,funded,2008-03-27T10:27:14-04:00,"Micro Hydro Power for 1,000 People in Philippines",A community-based micro-hydro power (MHP) system will be installed to provide household lighting and run community-based corn mill enterprises allowing people to secure food and income.,Climate Action,"Technical design and civil construction are complete.
The local non-profit SIBAT will facilitate turbine & generator installation, and start tree nursery and planting.
The community will provide labor and be trained on operation and maintenance.","Economic Development: Electricity will provide lighting two communities, A grain mill facility will be built and run by a cooperative, and help pay for maintenance of the plant. Climate change impact will be mitigated by planting thousands of trees.","Datalnay & Dlumay communities face food shortages for three to four months each year. Many members of the community make only $6 a month. When there is a surplus of food, village members carry heavy sacks of corn up to eight hours away to be sold at the nearest mill to earn supplemental income. The corn mill powered locally by hydro power will increase community prosperity and health. To counter climate change and preserve the water resource, a nursery will be set up and 15,000 trees planted.",United States,Portland,Oregon,6510.14,15000.00,8489.86,145,11,2011-11-22T13:10:23-05:00,2021-11-25T02:23:18-05:00,Child Protection;Climate Action;Economic Growth;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Digital Literacy;Climate Action;Climate Action;Ecosystem Restoration;Physical Health;Clean Water;Mental Health;Sustainable Agriculture,6
2074,false,funded,2008-04-28T14:59:29-04:00,Youth Interfaith Book Campaign in the Philippines,"This campaign seeks to mobilize books and other resources for Global Education and Interfaith activities involving at least 500 children in Manila, Philippines.",Education,"Volunteers will get the selected children's books from the publishers at discounted price and distribute this in a fun day of puppet shows, storytelling, arts/crafts session to allow children to better understand what tolerance & interfaith is about.",The project hopes to reach 500 children at the minimum to educate and encourage them to promote the value of mutual respect and understanding.,"This project is an initiative towards Global Education and Interfaith for everyone who seeks to take steps in bridging cultural and religious gaps among Filipino children in Manila, Philippines through the promotion of mutual respect and understanding.",Philippines,Diliman,Quezon City,30.00,6000.00,5970.00,3,0,,2021-11-25T02:23:18-05:00,Education,6
2168,false,retired,2008-08-22T15:47:42-04:00,Free Cleft Surgery for 400 Filipino Children,Smile Train is dedicated to helping the hundreds of thousands of children in the Philippines who suffer from unrepaired cleft lips & palates with free surgery.  They will have new smiles and new hopes,Physical Health,"Each child who undergoes cleft surgery is given a second chance at life. The surgery takes 45 minutes, but the impact lasts a lifetime. After years of living in shame and isolation, these children can finally go to school and lead happy lives.",Children’s lives are changed forever.  Dignity is restored to the family and the medical community benefits. Newly trained Smile Train doctors share their surgical skills with new doctors ensuring that cleft care will be available for years to come.,"Each year about 4,500 Pilipino babies are born with cleft lips and palates.  Approximately 180,000 of these children need medical care to lead productive lives.  Because of their birth defect, they are often abandoned at birth.  The greatest technology is that cleft surgery is a simple procedure that takes as little as 45 minutes and can cost as little as $250.  This surgery gives hope and a new beginning to children who otherwise would lead lives of isolation and shame.",United States,New York,New York,17157.00,90000.00,72843.00,305,12,2014-11-18T11:24:28-05:00,2021-11-25T02:23:18-05:00,Physical Health;Reproductive Health,6
2268,false,retired,2008-11-17T16:55:42-05:00,Helping People Afford Basic Healthcare,"This project provides affordable healthcare to needy Filipinos through the establishment of a charity hospital that performs free cataract surgery, cleft palate surgery, prosthetic limbs, distributes free eye glasses. It also provides free mother child family clinics, midwiferey training, and satellite birthing centers",Physical Health,"We operate a clinic that will solve as well as educate health problems related to poverty: parasitism, avitaminosis, wound infections, anemia, diarrhea, skin disease, poor hygiene, dental care. We offer programs for the disabled (prosthetics), midwife education, mother child charity clinics, eye, cleft palate, and harelip surgeries.We also have a birthing clinic and manage satellite birthing clinics.",The clinic will be the single source of affordable healthcare to the residents of the province of Pampanga who have no access to healthcare.,"We target poverty-stricken resettlement areas in the province of Pampanga, Philippines and provide affordable healthcare to the most needy. In a society where private, for profit facilities are common, we offer an alternative where no one is denied their most basic healthcare needs.",United States,Ledyard,Connecticut,2910.00,20000.00,17090.00,63,41,2016-03-15T11:49:00-04:00,2021-11-25T02:23:18-05:00,Physical Health;Refugee Rights;Reproductive Health,6
2389,false,retired,2008-10-30T15:48:15-04:00,500 Farmers Go Organic Farming-Philippines,500 model farmers will be trained on organic farming  to increase their production at the same time mitigate climate change. They will establish model farms and teach the technologies to other farmers,Climate Action,1) 20 Training on organic farming technologies;2)Provision of seed and small farm animals;3)Dispersal of 5000 fruit trees;4)Establishment of 20 demonstration farms;5) Five Environmental education/ trainings; 6) Five Capability building trainings;,"Farms are diversified, becoming sustainable,  have higher income, the community is food secure and economically vibrant. Farmer leaders are active and functional.Their higher level of environmental awareness contributes in mitigating climate change.","The massive conversion of farmlands into banana plantations by big businesses in the municipality of Nabuntoran pose threat to food security, health and environment. Farmers are enticed to rent their lands to these companies because of low farm productivity and high farm inputs. Their income is not enough for the needs of the families. As a response, this project will train 500 men and women farmers to become model practitioners of organic farming and replicate the technologies to other farmers.",Philippines,Davao City,Philippines,220.00,40000.00,39780.00,3,0,,2021-11-25T02:23:19-05:00,Climate Action;Ecosystem Restoration;Sustainable Agriculture,6
2529,false,funded,2009-01-06T11:17:15-05:00,Help Vendors Climb Out of Debt in the Philippines,"This project helps pull micro-entrepreneurs out of the cycle of debt. Donations provided help fund financial literacy training, pay off moneylender debts, and offer commitment savings accounts.",Economic Growth,Vendors will be provided with a debt pay-off and some may also be selected to receive financial literacy training and encouragement to save money in a bank account,"Pulled out of the cycle of debt, vendors will be able to devote resources to productive enterprises. Vendors may be less likely to fall into debt traps in the future.","Many small vendors in the Philippines borrow at high interest rates from moneylenders in order to operate. Yet too many of these individuals end up falling into unproductive cycles of debt. Recent survey work shows that there are at least 600 vendors operating in the markets of Cagayan de Oro city paying off high-interest debt -- handing over money that could be better used for child care, food, medicine or education for their children.",United States,New Haven,Connecticut,14930.00,15000.00,70.00,126,5,2012-06-15T09:24:02-04:00,2021-11-25T02:23:19-05:00,Economic Growth;Disability Rights,6
2752,false,retired,2009-05-19T17:23:25-04:00,Sustainable electricity for a Filipino village,"A 40kW hydro–electric system will be built with YAMOG to bring renewable electricity to 1800 people and community facilities in the village of Upper Sepaka, Surallah municipality, Philippines.",Climate Action,"Feasibility study and technical design are complete.
YAMOG will facilitate the weir and canal construction and turbine installation, and start tree nursery and planting.
The community will provide labor and be trained on operation and maintenance.","Economic Development: Electricity will provide lighting for families and community buildings, and also power several small businesses. A rice mill facility will be built and run by a cooperative, generating revenue to pay for maintenance of the plant","Currently, there is no power grid or electrical infrastructure to serve the population. The nearest power grid is 10 kilometers away and the S. Cotabato Electric Cooperative (SOCOTECO) has no plan to extend the power grid to the village of Upper Sepaka. A micro hydro-electric turbine system will help the 300 households in the village of Upper Sepaka, and increase community prosperity and health. To counter climate change and preserve water, a nursery will be set up and 15,000 trees planted.",United States,Portland,Oregon,70.00,30000.00,29930.00,6,0,,2021-11-25T02:23:19-05:00,Child Protection;Climate Action;Economic Growth;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Digital Literacy;Climate Action,6
3898,false,retired,2009-09-28T13:32:45-04:00,Philippines Flood Disaster Recovery Fund,"Massive rains from Tropical Storm Ketsana have caused severe flooding. As of 10/1, the death toll is 277, and hundreds of thousands of residents have lost their homes.",Disaster Response,"Provide food, water, emergency medical supplies and housing to residents displaced and affected by Tropical Storm Ketsana, which caused massive flooding and loss of life in the Philippines.",Help residents of the Philippines recover from the severe effects of Tropical Storm Ketsana.,"This Fund will work with project partners to supply displaced residents with food, shelter, and other basic necessities in the wake of the storm. Manila and its close-in provinces have borne the brunt of the massive storm, and the number of those affected and in need of assistance is still being assessed.",United States,Washington,District of Columbia,20844.52,50000.00,29155.48,440,2,2010-03-23T16:25:55-04:00,2021-11-25T02:23:21-05:00,Animal Welfare;Child Protection;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Justice and Human Rights;Digital Literacy;Food Security;Disaster Response;Safe Housing,6
3916,true,active,2009-10-02T00:08:18-04:00,Philippines Recovery Efforts Led by Local Experts,"Your donation will support initiatives to help partner people's organizations, institutions and communities increase capacities  on resiliency and  safety such as knowledge generation and sharing and conduct of activities that support advocacy on climate change adaptation, mitigation and environmental  protection and mobilizing resources for distribution of emergency relief goods for the recovery of victims of calamities in the Philippines (e.g. providing psychological trauma interventions).",Disaster Response,"The organization has four main programs, the community development, curriculum integration, institutional advocacy, and social awareness, formation and action.","While the project is currently engaged in the collection and deployment of relief goods, Sagip Pilipinas aims to eventually rebuild affected communities and enable them to adopt a more pro-active, integrated approach to disaster management.","The impacts of climate change is here and now. The rise of sea water and extreme weather events have had tremendous social and economic implications to Filipino families who have lost their livelihood and homes and are currently in evacuation centers.  De La Salle University's Disaster Management Response Program helps those affected by disasters in the Philippines, including Typhoon Haiyan.",Philippines,Manila,National Capital Region,86077.51,150000.00,63922.49,1204,55,2021-09-09T14:56:41-04:00,2021-11-25T02:23:04-05:00,Peace and Reconciliation;Education;Digital Literacy;Arts and Culture;Disaster Response;Climate Action,6
4054,false,retired,2009-10-30T17:08:18-04:00,Empowering 900 Filipino Youth in Peace Building,Partner with department of education in a pilot program where 900 schoolchildren of Christian and Muslim background will learn skills in peace building and conflict prevention through service-learning,Justice and Human Rights,"Renovate a building in the school to create a library involving students as volunteers, organize trainings for the whole community; Create a student service club; equip the library with educational materials and computers.","Our extracurricular program will develop service clubs that will then become the basis for a volunteer and peace movement. The model will be applied to all schools in the 10th district and eventually nationwide, impacting on a national scale.","Mindanao, the second largest island in the Philippines, has a 63% Christian majority and 32% Muslim population resulting in many violent conflicts due to misunderstanding. We are partnering with the 10th education district in the Philippines to start a pilot project for implementing our peace curriculum in the educational program to promote inter-religious understanding and raise schoolchildren as peacemakers, benefiting the 900 student population in the school.",United States,Bridgeport,Connecticut,990.00,35000.00,34010.00,23,1,2009-11-30T12:12:39-05:00,2021-11-25T02:23:22-05:00,Justice and Human Rights,6
4492,false,funded,2010-05-05T18:04:14-04:00,Microloans to 16 Entrepreneurs in the Philippines,"Opportunity and its network of nine Philippines microfinance organizations started operations in Manila in 1981 and currently serve over 600,000 active clients.",Economic Growth,"Opportunity and its network of 9 Philippine microfinance
organizations started operations in Manila in 1981 and currently
serve over 600,000 active clients. In the past five years,
Opportunity International in the Philippines has grown six-fold.","Opportunity Kauswagan Bank is a bank for the poor created from merging Opportunity NGOs.
Help reach the goal of 400,000 new clients by end of 2010, including important savings services.","Poverty is a significant problem, but in combination with inequality, it poses a serious threat to stability in the Philippines. In 2006, almost 27.6 million people lived below the Philippines' poverty threshold. This represents 26.9 per cent of Philippine families and 32.9 per cent of the population. According to international data, 44 per cent of the population subsisted on US$2 or less a day. Recent food price increases are estimated to push another 2.7 million people into poverty.",United States,Oak Brook,Illinois,1060.00,1000.00,0.00,31,7,2012-12-12T16:29:40-05:00,2021-11-25T02:23:23-05:00,Economic Growth,6
4725,false,funded,2010-02-26T17:30:10-05:00,Bring back 600 Filipino street children to school,"We are building a life competence center that provides 600 street youth alternative learning, life skills, tutorial and income generation that bring them back to formal schooling.",Economic Growth,"We facilitate learning unique to each youth, engage them in dream-building, training, product development and fairs. Youth craft art pieces out of their healing therapy sent to sponsors as gifts. We bridge communication between parent and children","600 street youth every year are prepared to go back to school, complete primary or secondary education, engage in income generation and mobilize savings that secure their future, end cycle of poverty and enjoy productive lives","The project addresses poverty, illiteracy and the impact of exploitation on the lives of 600 street children in southern Philippines. The life competence center provides free alternative learning, tutorial and life skills that give them better chances of being transitioned to formal schooling. They also avail voluntary HIV and health screening while opportunities for entrepreneurial activities that make them earn and mobilise life savings to secure own future is afforded",Philippines,Iloilo City,Iloilo Province,930.00,90000.00,89070.00,25,1,,2021-11-25T02:23:23-05:00,Economic Growth,6
