id,active,status,summary,title,theme,themename,ContactCountry,funding,goal,donations,reports,remaining
9637,false,funded,"Barangays Maducayan and Saliok of Natonin, Mt Province are home to 135 households (total population- 563) of the Maducayan tribe.  SIBAT will facilitate the installation of a 20 kW microhydro power project that will provide the village with clean and affordable energy for household lighting, small appliances and rice milling.  The tailrace water of the microhydro project will also be used to provide irrigation water supply to aid in crop production.",Microhydro Power for Maducayan Tribe-Philippines,Physical Health,Child Protection;Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Digital Literacy;Food Security;Physical Health;Climate Action;Economic Growth;Clean Water;Sustainable Agriculture,Philippines,248.22,20000.00,6,2,19751.78
9651,false,funded,An average of 8 to 9 typhoons make landfall in the Philippine area each year. These relentless rains can cause widespread damage in the Philippines. This fund has provided emergency relief to the victims of the floods since 2011 and will continue to do so as assistance is needed.,Philippine Flood Relief Fund,Disaster Response,Animal Welfare;Child Protection;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Justice and Human Rights;Digital Literacy;Food Security;Disaster Response;Physical Health;Safe Housing,United States,105858.87,150000.00,1560,15,44141.13
9676,false,funded,"Over 470 000 people were affected by Tropical Storm Washi, sadly nearly 1,000 people died and others still reported missing.  

To help with immediate needs, Merlin is working with a local NGO to distribute hygiene kits and offer basic medical assistance, in the longer term we plan to rehabilitate health facilities and train health staff to prepare for future emergencies.","Hygiene kits for Storm Washi families, Philippines",Disaster Response,Disaster Response;Physical Health;Clean Water,United States,2500.00,2500.00,64,6,0.00
9680,false,retired,"Hundreds of thousands of children in southern Philippines are at risk after Tropical Storm Washi swept through the island of Mindanao dropping one month's rainfall in just one day.   UNICEF's emergency response includes water and sanitation, nutrition and education interventions.   Thank you for supporting children in the Philippines, $10, $50, $100, $250, $500 or any amount you can give will help save kids' live.",Support Children in the Philippines,Disaster Response,Child Protection;Disaster Response;Education;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Digital Literacy;Disaster Response,United States,2508.00,10000.00,51,2,7492.00
10228,false,retired,"The PEARLS Scholarship Program Project will help the children of Ulingan in getting a formal education.    
These scholarships will not only help the economic burden of their families but more importantly will encourage the children to strive harder with their education and to dream bigger.  

Ulingan is a small slum community in Tondo, Manila that sits on a dumpsite and surrounded by charcoal factories that emit toxic smoke.",Scholarships for the Children of Ulingan,Education,Education,United States,340.00,5000.00,8,0,4660.00
10615,true,active,"We are helping local fishers conserve, protect and sustainably utilize their natural resources through formation of local structures, environmental awareness, research, provision of supplemental livelihood and institutionalization of management options.",Talim Bay Coastal Resources Management Project,Climate Action,Peace and Reconciliation;Education;Digital Literacy;Arts and Culture;Climate Action;Economic Growth;Justice and Human Rights,Philippines,9566.92,14000.00,132,35,4433.08
10885,false,funded,"On August 6, the Tropical Storm Haikui brought two days of heavy rains that caused massive flooding and landslides throughout the capital city of Manila in the Philippines. Over 800,000 people were evacuated from their homes and 250,000 people  moved into emergency shelters. Some 2 million people live in informal settlements in high risk areas along river beds that are prone to flooding. Architecture for Humanity is committed to helping communities in Manila rebuild. You can help.",Philippines Floods Response,Disaster Response,Disaster Response;Physical Health,United States,684.00,50000.00,20,1,49316.00
10889,false,funded,"There are currently close to 1 million people evacuated or rescued from flooded neighborhoods and shantytowns in Manila, Philippines. Asia America Initiative a tax-exempt inter-faith humanitarian organization has been doing  relief in support of community-based and army civil affairs rescue teams in some of the most hard hit communities in the capitol region.  We keep evacuees dry, warm, safe from disease-carrying mosquitoes, and provide clean drinking water, food and hygiene and cooking gear.",Providing Flood Relief for Families in Philippines,Disaster Response,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Disaster Response;Physical Health;Clean Water,United States,1650.00,8000.00,23,4,6350.00
10957,false,funded,"On Aug 6th, monsoon 'Habagat' and tropical strom 'HaiKui' hit the Philippines capital, Manila and other central and northern areas of Luzon. Flooding due to these storms has affected more than 2 million and tens of thousands of people are still living in evacuation centers. Storm 'Helen' is expected to bring further rains and more floods.  

Merlin is based in Manila and our emergency team is responding to the health, water and sanitation needs of over 1,500 local people in need of care.","Emergency flood support Manila, Philippines",Disaster Response,Disaster Response;Physical Health;Clean Water,United States,1450.00,1000.00,15,1,0.00
11020,false,retired,"The Pencil and Paper for Nature outreach program raises values on conservation among daycare and grade school children living  in key biodiversity areas in Mindanao.  The program will provide 20,000 children with a set of pencil, pad of paper and biodiversity conservation workbook.  It  will give lectures to 100 village schools, including a set of visual aids and library books about biodiversity conservation.  It will train 100 volunteer mothers for daycare conservation education.",Pencil and paper for nature to Mindanao children,Education,Education;Climate Action;Education;Sustainable Agriculture,Philippines,243.00,6000.00,2,0,5757.00
11395,false,retired,"This project will address the issue of marine environment degradation through creation of a pilot episode for the series based in the Coral Triangle. The series will explore the various problems and solutions occurring in the rich seas of Southeast Asia, which will help instil a conscience for the youth to take better care of the marine environment and its creatures. It hopes to change minds, attitudes, and practices among the next generation of young people.",Marina's Underwater Adventures,Climate Action,Climate Action;Education;Sustainable Agriculture,Canada,254.25,10000.00,13,0,9745.75
11885,false,retired,"This project will enable the provision of materials needed in individual and group counseling, and adjunctive (music, arts, dancing, and theatre) therapy to 23 physically and sexually abused, abandoned, exploited and neglected street girls in Tahanan Sta. Luisa.",Recovery of 23 Abused Street Girls in the Phils.,Gender Equality,Child Protection;Education;Justice and Human Rights;Ending Abuse;Mental Health;Gender Equality;Arts and Culture;Ending Abuse,Philippines,2628.00,17000.00,20,0,14372.00
11988,false,funded,"In August, severe flooding inundated Metro Manila and the northern Philippines, affecting over 500,000 people.  Peace Winds America (PWA) and its local partner, Citizens' Disaster Response Center (CDRC), have been distributing relief supplies to families in evacuation centers and to vulnerable communities.  With PWA support, CDRC is strengthening community capabilities through community-based disaster management and training.",Philippines Disaster Relief and Recovery,Disaster Response,Disaster Response;Gender Equality;Ending Human Trafficking;Disaster Response,United States,60.00,15000.00,1,3,14940.00
12426,false,retired,"Childhope's Outreach and Protection/Education on the Streets provides counseling and non-formal education among street children in 20 areas in Metro Manila through our 31 Street Educators. Our Street Educators, either social workers or teachers, provide the street children with direct access to basic social services such as counseling, alternative basic education, basic literacy and numeracy, health care, recreation and referral services that leads them towards a better life off on the streets.",Education on the Streets Program,Child Protection,Child Protection;Disaster Response;Education;Gender Equality;Physical Health;Food Security;COVID-19;Ending Abuse;Mental Health;Child Protection;Education;Physical Health;Ending Abuse;Mental Health,Afghanistan,6475.00,31300.00,44,2,24825.00
12495,false,retired,"Healthy, confident girls with resources are the way to a brighter future. Global Sorority is a documentary series featuring 100 girls in 12 countries within 2 years. This campaign is to support part 2 of the journey. Each girl we work with in Vietnam and the Philippines will have the opportunity to gain leadership skills to help raise her confidence, she will receive a Pads4Girls kit so she doesn't have to miss school each month, and she will have an opportunity to share her voice with the world","GS: Leadership for 40 girls (Vietnam, Philippines)",Gender Equality,Gender Equality;Education,Canada,3028.00,5000.00,29,0,1972.00
12510,false,retired,"The Knights of Federal Farmers and Fishermen Organization Incorporated office located at Barangay Malingin, Bago City, Negros Occidental, Philippines are composed of more than  One Thousand (1000) Farmers-beneficiaries that surrounds Negros Island. Our farmers need an equipment which is benefited to the whole locality. They need an organic fertilizer machine which can produce at a much lower cost; which lessen their expenses and to compete the high prize of fertilizer.",Over 1000 farmers benefited in Negros Island,Economic Growth,Economic Growth;Disaster Response,Philippines,0.00,12250.00,0,0,12250.00
12518,false,funded,"Senior architecture students at Foundation University in Dumaguete, Philippines get hands-on experience leading the design of a new daycare center for a remote village from community concept through construction.",Estudio Damgo: First Filipino Design-Build Studio,Education,Education;Ecosystem Restoration;Sport;Digital Literacy;Arts and Culture;Clean Water;Sustainable Agriculture;Education;Climate Action;Arts and Culture;Sustainable Agriculture,Philippines,5421.17,5000.00,55,4,0.00
12696,false,funded,"Typhoon Bopha has devastated communities across the Mindanao region of the Philippines; 300 people have perished and over 200,000 are in evacuation centers. Asia America Initiative in partnership with local officials, community groups, military logistics teams and youth volunteers is conducting ongoing relief in the most hard to reach areas where roads and bridges are destroyed.  Help us provide food, medicine, hygiene, blankets for 5,000 families with close to 15,000 infants and children.",Provide Relief to 5000 Families in Typhoon Bopha,Disaster Response,Animal Welfare;Child Protection;Climate Action;Peace and Reconciliation;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Gender Equality;Physical Health;Ending Human Trafficking;Justice and Human Rights;Sport;Digital Literacy;Food Security;Disaster Response;Food Security,Philippines,10257.50,20000.00,67,8,9742.50
12700,false,funded,"The destructive ""Typhoon Bopha"" (or Pablo) made landfall on the eastern coast of Mindanao early December 4.  Torrential rain and strong winds toppled trees and power lines, destroyed houses and roads, and caused floods and mudslides and forced more than 300,000 to seek refuge in evacuation centers.
Peace Winds America (PWA) and its local partner, Citizens' Disaster Response Center (CDRC), are responding by distributing relief supplies to affected families in Compostela Valley.",Typhoon Bopha Emergency Relief in the Philippines,Disaster Response,Disaster Response;Gender Equality;Ending Human Trafficking;Disaster Response,United States,7055.00,25000.00,13,3,17945.00
12722,false,retired,"This project will support hygiene and sanitation needs of Typhoon Pablo survivors in Compostela Valley here in Mindanao.The urgent needs are; a. Food, b. Water, Medicines, Sleeping mats,  Lighting, Sanitation and Hygiene.  We would like to concentrate our support in providing low-cost, durable ecosan (dry) toilets, pour-flush toilets and hygiene kits. We excel in this type of initiative having won the Tech Awards in 2011 for technology benefiting humanity, amomg other awards.",Give Toilets & Hygiene Kits to Typhoon Survivors,Disaster Response,Animal Welfare;Disaster Response;Economic Growth;Ecosystem Restoration;Gender Equality;Food Security;Disaster Response,Philippines,314.00,10000.00,9,0,9686.00
12762,true,active,"The Philippines is one of the world's most disaster prone countries. It is struck by more than 20 typhoons in an average year, and with the effects of climate change that number is expected to rise. By investing in communities before disaster strikes and helping them prepare, we can lessen disasters' impacts and ensure that communities can recover quickly and with less reliance on outside aid. After all, an ounce of prevention is worth a pound of cure.",Help Filipino Communities Prepare for Disaster,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response;Economic Growth,United Kingdom,7914.88,16000.00,153,48,8085.12
12763,true,active,"The community of Banaba is struck by flooding several times each year. Residents of this small community just outside Manila live in constant fear of heavy rains which cause rivers to quickly burst their banks. They've organised themselves and are ready to respond when the rains come. But without rescue boats to use during flooding, many lives could be lost.",Build Rescue Boats in Flood Prone Communities,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response,United Kingdom,18884.58,22000.00,313,50,3115.42
12783,false,retired,"The community of Banaba is affected by flooding almost every year. For the families living in this small community just outside Manila, it isn't a question of if there will be more flooding, but when. But these inspiring families aren't taking matters lying down - they've organised themselves and are prepared to respond when floods come. Your donations will provide community leaders with an 8' x 4' boat which they'll use to evacuate during floods and rescue any trapped neighbors.",Build a Rescue Boat,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response,United Kingdom,325.00,810.00,9,2,485.00
12786,false,funded,"The community of Banaba is affected by flooding almost every year. For the residents of this small community just outside Manila, it isn't a question of if there will be more flooding, but when. But these inspiring community members aren't taking matters lying down - they've organised themselves and come up with a solution. Your donations allow them to build defenses which will protect their homes and prevent their roads eroding.",Build Flood Defences in a Filipino Community,Climate Action,Climate Action;Disaster Response;Economic Growth;Education;Ecosystem Restoration;Ending Human Trafficking;Climate Action;Disaster Response;Economic Growth,United Kingdom,160.00,5000.00,4,2,4840.00
